patch;patch_features;nome_join;Name;Win %;Pick %;Ban %;Presenca_Global %;delta_wr_1p;tendencia_3p;pressao_acumulada;wr_vs_media;target
2610;2609;mordekaiser;Mordekaiser;48.55;11.71;7.08;18.79;1.52;1.52;0;0.76;0
2610;2609;morgana;Morgana;49.5;9.52;14.84;24.36;-0.74;-0.74;0;-0.37;0
2610;2609;naafiri;Naafiri;49.04;23.69;33.93;57.62;0.52;0.52;0;0.26;1
2610;2609;nami;Nami;42.98;29.69;3.74;33.43;4.77;4.77;0;2.38;0
2610;2609;nasus;Nasus;47.35;7.7;3.86;11.56;-0.39;-0.39;0;-0.19;0
2610;2609;nautilus;Nautilus;46.73;18.75;13.76;32.51;-0.28;-0.28;0;-0.14;0
2610;2609;neeko;Neeko;50.0;5.02;1.14;6.16;1.04;1.04;0;0.52;0
2610;2609;nidalee;Nidalee;46.19;5.18;1.12;6.3;-2.09;-2.09;0;-1.05;0
2610;2609;nilah;Nilah;36.33;2.53;2.55;5.08;-11.84;-11.84;0;-5.92;0
2610;2609;nocturne;Nocturne;51.31;15.41;13.8;29.21;6.46;6.46;1;3.23;0
2610;2609;nunu;Nunu & Willump;44.57;4.68;0.57;5.25;-0.33;-0.33;0;-0.17;0
2610;2609;olaf;Olaf;47.68;5.85;2.69;8.54;-2.43;-2.43;0;-1.22;0
2610;2609;orianna;Orianna;44.82;7.93;1.1;9.03;6.65;6.65;0;3.32;0
2610;2609;ornn;Ornn;48.51;9.84;0.8;10.64;0.39;0.39;0;0.19;0
2610;2609;pantheon;Pantheon;49.54;14.82;1.61;16.43;0.87;0.87;0;0.44;0
2610;2609;poppy;Poppy;47.61;6.33;2.84;9.17;-2.8;-2.8;0;-1.4;0
2610;2609;pyke;Pyke;49.37;12.66;25.7;38.36;4.1;4.1;0;2.05;0
2610;2609;qiyana;Qiyana;50.46;8.89;2.47;11.36;0.17;0.17;0;0.08;0
2610;2609;quinn;Quinn;46.69;2.96;0.77;3.73;-1.11;-1.11;0;-0.55;2
2610;2609;rakan;Rakan;44.31;6.12;0.3;6.42;-7.7;-7.7;0;-3.85;0
2610;2609;rammus;Rammus;47.93;3.41;3.23;6.64;-0.37;-0.37;0;-0.18;0
2610;2609;reksai;Rek'Sai;49.95;5.23;1.81;7.04;2.07;2.07;0;1.03;0
2610;2609;rell;Rell;50.96;6.71;0.94;7.65;3.21;3.21;0;1.6;0
